content,topics,sentiment,labels
"túi nhỏ, cũng bình thường, màu đẹp,
ko có ngăn ngoài, mà giá cũng ko hề rẻ",Product,Good,0
great pan,Quality,Good,1
"chảo đẹp, ko biết dùng có ổn ko",Product,Good,0
"chảo xịn xò lại còn săn được giá rẻ. đóng gói cẩn thận, giao hàng cực nhanh. cảm thấy rất hài lòng. cám ơn tefal, ninja van và lazada rất nhìu ",Product,Good,0
"mua nhầm 2 chảo không nấu được bếp từ. đã mua thêm 1 chảo nấu bếp từ nhưng ko trả được 2 chảo cũ. 
khá thất vọng. chảo mới chỉ khui thùng ra. chưa va chạm gì còn mới nguyên. 
hi vọng tương lai nhà bán hàng có chính sách hỗ trợ tốt hơn. ",Product,Bad,0
"chảo đẹp , vừa ý, hàng xịn.
⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟",Product,Good,0
thank you for fast delivery. ,Logistic,Good,2
chảo dùng ổn. tuy nhiên hơi to nếu nấu 1 mình.,Quality,Good,1
"bàn ủi tốt, nhìn rất xịn. mình tin dùng sản phẩm của tefal.",Quality,Good,1
ok,Quality,Good,1
"nhận hàng bị móp méo 1 bên, khi gọi báo thì đc tv khá kĩ nhưng đổi trả lại hơi rắc rối, hơi thất vọng, giao hàng một nơi nhunge khi muốn đổi trả lại nói chỉ thu hồi tại địa chỉ mặc định trong tài khoản cá nhân của khách hàng",Logistic,Bad,2
quà tặng kèm khi mua máy xay ở bên ngoài size w0cm nên nhìn khá bé. xjdks xjsnxk ạ xxjsn sxjabw,Sale,Bad,3
"hàng xịn xò được những 2 cái, đóng gói tuyệt vời xxxxx cvvvvbbbnnnmbcxxxxxxxxxxcxccx.   xx",Product,Good,0
chảo đẹp lắm tay cầm chắc chắn,Product,Good,0
"hàng đẹp, dày, nên mua",Product,Good,0
good,Quality,Good,1
"sp chưa dùng nên chưa bit,sp nhìn đẹp",Product,Good,0
"giao hàng nhanh, đóng gói cẩn thận",Logistic,Good,2
"giao hàng nhanh, đóng gói kỹ, xài tốt, tiếp nhiệt nhanh, chà rửa dễ dàng, rẻ. rất ưng, nên mua. ",Logistic,Good,2
"san pham rat tot , mua sale đuoc mua 1 tang 1 nữa rat rẻ nha moi nguoi , shipre giao hang rat lich su , de thuong lam lắm luon nha moi nguoi , đing hang rat ky ạ ",Quality,Good,1
"nồi đẹp, giá sale tốt, đóng gói kỹ. tuy nồi kim loại nhưng rửa rất dễ, cán nồi vừa không bị dài.",Product,Good,0
"chảo xịn xò, đóng gói cẩn thận, giao hàng siêu nhanh, giá săn sale siêu hấp dẫn, đã mua 2 lâgn và sẽ còn ủng hộ",Product,Good,0
mua máy éo giá 1tr của tefal dc tặng cái chảo rất xin xò. bù qua cho máy ép ép ko dc kiệt,Product,Good,0
tạm ổn thôi,Quality,Good,1
"quá nhanh luôn,hôm trước đặt là sáng hôm sau giao mà lại có chương trinh freeship và mua 1+1",Logistic,Good,2
"hàng tặng xịn sò - chất lượng lắm 

căn hộ mt eastmark quận 9 - liên hệ hotline 091.3939.339 ",Product,Good,0
"nồi đẹp, đã dùng thử khá ok, tuy nhiên phần xả áp suất mn nên cẩn thận ko khéo bị bỏng khi hới nước thoát ra, hầm nhừ lắm luôn í, ưng lắm, được tặng thêm cái chảo to ơi là to",Product,Good,0
"chảo dày, đẹp. mua sale chỉ 110k/ cái nên đặt.luôn 10 cái. terfa mall mãi đỉnh",Product,Good,0
"chảo đẹp , chưa xài chưa biết bền hay ko",Product,Good,0
rất tốt,Quality,Good,1
chảo đẹp lắm luôn. mua 1 tặng 1 nữa xịn xò ghê. mua dc chảo xịn bằng với giá chảo chợ thích ghê luôn á 😚😚😚😚,Product,Good,0
"hàng chất lượng, nên mua ,  đã , rất đẹp, mua lần đầu nhưng rất tích ",Product,Good,0
tốt,Quality,Good,1
"nồi đẹp, xịn, chắc chắn",Product,Good,0
chảo dày dặn xịn lắm mng ơi,Product,Good,0
"chảo xịn chính hãng made in france,đổ dầu vô chiên không dính,không đổ dầu cũng không dính,tốt nhât nên cho 1 chút dầu",Quality,Good,1
"tefal mua 1 tặng 1, quá ngon, mình tính mua bên tiki cho rẻ mà ko ngờ bên laz còn sale ác hơn. tefal chất lượng, giá phải chăng ",Quality,Good,1
chảo đẹp và chất lượng!,Product,Good,0
chảo chiên chống dính tefal light& clean 26cm nhận được giống phần mô tả sản phẩm và hình ảnh minh hoạ. sử dụng tốt.,Quality,Good,1
"chảo chắc chắn, mình đã dùng chảo tefal từ nhiều năm nay, giờ mua thêm các size cho đa dạng căn bếp. ",Product,Good,0
quá  đẹp.. đong hàng cực kì cẩn thận.,Product,Good,0
"nồi đóng gói rất chắc chán k bị móp méo hộp gì hết nhận hàng đầy đủ hết tất cả 
hình ảnh mang tính chất nhận xu thôi nha",Logistic,Good,2
cái chảo thứ 2 của tefal.mọi thứ điều mượt mà,Quality,Good,1
"chảo rất chắc chắn, giao hàng nhanh. mua đúng đợt 5.5.2022 đc giảm giá còn khoảng 724k. rất hài lòng về chảo cũng như giao hàng bên lazada nhanh chóng và rẻ",Product,Good,0
"giao hàng siêu nhanh luôn, chảo đúng hãng ,chắc chắn còn được tặng thêm ấm siêu tốc thích lắm,cảm ơn shop,cám ơn lazada nhiều",Logistic,Good,2
đã mua nhiều sản phẩm của shop nhiều lần rùi uiiiiiiiiiiiiiiiiiii uiiiiiiiiiiiiiiiiiii ,Quality,Good,1
"giao hàng cực kỳ nhanh luôn. đặt gửi về nhà cho mẹ nên khi kiểm tra đơn thấy shipper giao rồi giật mình luôn.
nghe mẹ nói chảo cũng khá to, nhìn đẹp.
mình thấy giá như vậy quá hời luôn ",Product,Good,0
okokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokok,Quality,Good,1
"đã nhận được hàng, đặt hàng đóng gói vận chuyển giao hàng cũng nhanh gọn lẹ, luôn ủng hộ tefal! ",Logistic,Good,2
chão nặng ok,Product,Good,0
"chảo mới mua nhưng đã bị bong tróc 1 vết lớn khá sâu ở điểm báo nhiệt, làm tôi băn khoăn về chất lượng lớp chống dính",Quality,Bad,1
"hàng tốt, xài êm nha mọi người, sẽ ủng hộ lần sau. habe a nice day everyone . hihihihihihihihi",Quality,Good,1
tefal thì quá ngon,Quality,Good,1
"chảo dày nặng tay, mà lúc đầu sài sử dụng thử thì nghe tiếng rắt tắt, ko biết do chảo hay bếp ,quà tặng kèm ấm đun nhỏ xinh , giao hàng rất nhanh .",Product,Good,0
"hàng đẹp. hài lòng về chất lượng, lại mua được giá rẻ. ok",Product,Good,0
thank you for fast delivery. ,Logistic,Good,2
hàng đúng như mô tả. hàng chính hãng nhìn đẹp và chắc chăn. cảm ơn shop. lần sau sẽ mua tiếp để ủng hộ shop,Product,Good,0
"sản phẩm giống mô tả. đóng gói tốt, lót khá kỹ.",Quality,Good,1
"chảo đẹp, mua 1 được khuyến mãi tặng thêm 1 cái ,, miễn phí ship nữa quá ư là rẻ, 2 chảo size 26 mà chỉ 219k,, hên quá ",Product,Good,0
hàng đẹp,Product,Good,0
"sức chứa dòng này không nhiều như dòng màu đỏ, dù đường kính bằng nhau. tuy nhiên dòng đỏ hay lỏng ốc tay cầm, dòng này thiết kế có vẻ chắc chắn hơn. nhẹ hơn dòng đỏ, chống dính tốt như nhau. trong hình là để kế bên chảo của locklock size nhỏ hơn.",Quality,Good,1
"nồi đẹp, chắc chắn, còn bền hay không phải dùng mới đánh giá được",Product,Good,0
"tefal thi tot roi, size 24 xai vua du khong qua to, dung de xao rat tien, se mua tiep neu sale o laz",Quality,Good,1
chống dính k tốt lắm,Quality,Good,1
why it is not working for induction cooker?,Product,Bad,0
"đóng gói gửi hàng đều rất nhanh, chắc chắn.
máy to thật sự, cầm rất nặng tay, linh kiện vừa đủ không bị kiểu linh tinh nho nhỏ.
mình test thử quick clean, deep clean, soy milk: nước được nấu lên và trộn để làm sạch máy, sữa nấu xong nhìn hấp dẫn nhưng bị người nhà than là máy kêu ồn quá. một điểm trừ nữa là chuôi điện dùng chấu 3 chứ k phải chấu 2.
máy chất lượng nhưng mình hơi ngại vụ tiếng ồn nên chắc không dùng nhiêu. ",Logistic,Good,2
"giao hang nhanh truoc ca du kien hang shop dong goi can than rat hai long con chat luong chua dung chua danh gia dc ko biet hàng chinh hãng khong nhung nhin có vẻ yen tam la hang chinh hang, ",Logistic,Good,2
sản phẩm tốt eheheheheheheheheheheheheehehheheheheheh eheheheheheheheheheheheheehehheheheheheh eheheheheheheheheheheheheehehheheheheheh eheheheheheheheheheheheheehehheheheheheh eheheheheheheheheheheheheehehheheheheheh,Quality,Good,1
"đã nhận được hàng, giao nhanh, nhân viên nhiệt tình vui vẻ, sản phẩm đẹp, chưa sd nên chưa đánh giá dc",Product,Good,0
"chảo nhìn khá đẹp,ưng ý,ko biết nấu có ngon ko",Product,Good,0
"mình nhận được chảo trong vòng khoảng 3 ngày đặt hàng. đóng gói cẩn thận, nhưng do quá trình vận chuyển nên chảo bị móp phần miệng. mình đã liên hệ với tefal và đã gửi trả hoàn lại cho lazada. shop nên dán cảnh báo hàng dễ méo vỡ cho bên vc cẩn thận hơn. cảm nhận về chảo là chắc chắn, và chảo chỉ có 20 và 24 cm nên nếu nấu cho nhiều ng, cỡ 4 5 ng ăn thì khá là nhỏ. nhà mình 5 ng lớn nên chảo này cũng ko đáp ứng đủ nhu cầu nấu ấy. ",Product,Good,0
"chảo tefal chất lượng, điểm trừ chảo mới đã bị trầy xước.  hơi buồn. thích hàng tefal nên tạm hài lòng ",Product,Good,0
chảo rất tốt mọi người nên mua ,Quality,Good,1
"máy ép được, bã khô, nhưng phải cắt nhỏ ra chứ ko bỏ cả quả táo vào như quảng cáo đâu nhé",Quality,Good,1
đóng gói rát cẩn thận. đã test chất lượng khỏi bàn. rất ấn tượng. .......................,Quality,Good,1
"chảo đẹp, cầm nặng tay, chưa dùng nên chưa đánh giá chất lượng. giao hàng nhanh, hãng đóng hàng cẩn thận. mua hôm trước hôm sau đã nhận được. mua thêm hộ mọi người. mua  đợt giảm giá được giá rẻ .",Product,Good,0
"gặp sale nên mua 1 được tặng 1, sản phẩm tốt",Quality,Good,1
"vừa nhận hàng luôn , nhà có 2 mà quá trời nồi chảo , nhưng vẫn thích mua thêm , hàng chất lượng, đẹp , mua sale nên rẻ nữa",Product,Good,0
"chảo dày dặn,đẹp,hi vọng dùng bền",Product,Good,0
"sản phẩm chất lượng. máy dễ lắp và sử dụng, hàng chính hãng nên rất ưng ý.❤️🥰🥰😅🥰🥰……………..",Quality,Good,1
"sản phẩm như hình quảng cáo, cầm khá là chắc tay. chưa dùng thử nên chưa chắc về độ bền và độ chống dính. nhưng mà chảo đẹp.",Product,Good,0
"sản phảm đóng gói kĩ,giao nhanh chóng,nồi bắt từ tốt,chắc chắn",Quality,Good,1
"chảo sâu lòng nên đáy hơi nhỏ. cầm nặng, nhưng cảm giác không được chất lắm, đế từ nấu 2 lần đã ngả vàng.",Product,Good,0
giao hàng siêu nhanh mới đặt tối qua thì ngày hôm sau có. gói hàng siêu kỹ. chảo nhỏ vừa tầm. làm biếng chụp hình. nhưng nói chung ưng cái bụng. săn sale được mua 1 tặng 1 tính ra mõi cái chảo là 100k quá rẻ cho 1 cuộc tình 🤣🤣🤣🤣,Logistic,Good,2
"chảo dùng để đánh rất tốt, đánh cái nào bầm cái đó, điểm 10 sát thương ",Quality,Good,1
đóng gói siêuuuu cẩn thận. máy mình chưa mở nên chưa biết sao ạ. mà nghe bạn mình nói dùng ổn lắm ạ,Logistic,Good,2
chảo cầm nặng tay chưa xài nên không biết có chóng dính tốt không nhưng nhìn rất thích shop đóng gói cẩn thận ,Quality,Good,1
ok,Quality,Good,1
đẹp lắm nên mua nhé mọi người ,Product,Good,0
"chảo dùng tốt, cầm nhẹ tay nhưng chắc chắn, chống dính tốt, riêng chảo chiên thì quai cầm hơi lỏng đinh nhưng chắc cũng không sao",Quality,Good,1
"giao hàng nhanh chóng, chảo bếp từ xài tốt, rất đáng mua",Quality,Good,1
"mua rồi xài rất oke nên mua thêm. chống dính cực tốt, rất ít hao dầu. giá lại mềm.",Quality,Good,1
"lần đầu mua rất hài lòng, giao hàng cực nhanh, đặt hôm trước hôm sau nhận, đóng gói cẩn thận, ko bị móp méo, chảo to, cầm nặng tay, nhìn rất sịn sò, nên mua nhé mn, cô giao hàng dễ thương 😘",Logistic,Good,2
máy xay dùng ok nếu có lọc đi kèm thì tốt hơn. không xuất được hóa đơn online. không có ảnh nên dùng tạm ảnh này,Quality,Good,1
giao hàng nhanh. sản phẩm tốt. shipper thân thiện.......,Quality,Good,1
shop ơi ấm tặng nắp bị gãy shop đổi hàng được ko. lò thì chưa sử dụng nên ko biết ntn? mình có quay clip nhưng vì có quay mặt mình nên nếu cần thì mình cũng cấp nhưng gửi riêng chứ ko gửi trên này được. shop hỗ trợ giúp mình đổi ấm nha.,Sale,Bad,3
"chảo này size 20 mình thấy lòng chảo sâu hơn nhưng chảo bình thường, chiên thử rất ok nha",Quality,Good,1
giá k hợp lý lắm so với chấ lượng sản phẩm,Sale,Bad,3
"giao thiếu sản phẩm, liên hệ thì chờ các bên liên quan giải quyết mà không biết đến khi nào xong, tiền ship cao ngất ngưởng.",Logistic,Bad,2
"shop đóng gói cẩn thận ,sp đẹp ,nhẹ ,không bị lỗi ,tốt trong tầm giá .cảm ơn shop nhé và ttục ủng hộ lần sau.",Product,Good,0
xuất sắc đạte bộ thứ 2 rồi,Product,Good,0
đã nhận được hàng. giao hàng nhanh. đóng gói cẩn thận. đúng sản phẩm của mình đặt. chất lượng chắc phải chờ đến khi sử dụng ,Logistic,Good,2
đáy chảo rộng tầm 27cm chiên rộng râi rất thích. chiên thử đậu hũ vàng ươm ngon hơn chảo cũ,Quality,Good,1
"chảo đỉnh lắm các bác ạ , lần đầu mua đc cái chảo rán đậu vui đến thế ",Quality,Good,1
"mua dc sale mua 1 tặng 1, quá hời, chảo chống dính xài đã j đâu luôn..shop gói và giao nhanh dã man",Logistic,Good,2
đóng gói cẩn thận không lo móp.chảo đẹp nhìn sang trọng.sẽ ủng hộ thêm nhiều nữa ạ.........,Product,Good,0
nấu chậm quá,Quality,Bad,1
not good,Product,Bad,0
"đóng gói cẩn thận, thái độ hỗ trợ tốt. sản phẩm nhìn chất lượng, cứng cáp. để sử dụng nhiều rồi sẽ đánh giá chính xác hơn",Quality,Good,1
giao hàng nhanh. shipper thân thiện. sản phẩm tốt,Quality,Good,1
"đã nhận nồi chiên và xài thử, khúc đầu xập cửa chưa đúng khớp nên ấn nhiệt tình cũng ko thấy máy chạy, khúc sau mới phát hiện ra. máy ngon và khoẻ nha. ",Quality,Good,1
chảo mỏng. không được chống dính tốt. ,Product,Bad,0
máy về ko có chạy shop ơi ,Quality,Bad,1
"chảo của tefal thì xịn rồi, cầm nặng tay, chống dính tốt, shop gói hàng siêu cẩn thận nên chảo đến tay khách vẫn đẹp lung linh như ảnh",Product,Good,0
"quạt được làm bằng nhựa nên nhìn không sang như trong hình. quạt kêu to, trả vòng còn có tiếng rít. tuy nhiên quạt rất mạnh và mát.
update: hãng đã gọi và tư vấn cách chỉnh quạt hợp lí. vì quạt đc thiết kế để tăng độ cắt gió nên âm gió của quạt sẽ mạnh hơn so với quạt thông thường (các bạn mua cân nhắc nhu cầu của mình để quyết định). nói chung dịch vụ chăm sóc kh của tefal rất tốt, các bạn tư vấn viên rất chu đáo nhiệt tình. nên cho 5 sao",Quality,Good,1
nhận đươc hàng . hàng giống quàng cáo cho shop 5 sao,Logistic,Good,2
chảo mỏng. không được chống dính tốt. ,Product,Bad,0
đặt trong giờ mà không gửi bàn ủi hơi nước. đề nghị gửi bố sung cho khách. ,Logistic,Bad,2
"bán cho mh cái lục giác để vặn cái cán chảo đi mua về chưa dùng xắp rụng tay cầm ra rồi .lấy tô vít vặn thì k đc .chảo hơn triệu mà thất vọng quá
",Quality,Bad,1
sâu lòng. vân đá đẹp ưng ý,Product,Good,0
"hàng đẹp, giao nhanh",Product,Good,0
"hàng tặng kèm chưa xài tuy nhiên đồ của tefal thì chắc là ngon nghẻ rồi, đã xài thử lò chiên và rất ưng. ảnh chỉ mang tính chất tượng trưng vì lười chụp",Quality,Good,1
mình scan qr code mà ko hiện ra đăng kí bảo hành. mình mong được hỗ trợ chứ mình mua máy chunhs hãng vì muốn đc bảo hành. máy dùng tốt dễ dùng dễ chùi rửa,Quality,Good,1
"giao hàng nhanh, đóng gói cẩn thận, chất lượng tuyệt vời, sẽ ủng hộ những đơn sau nữa!!!!!!! ",Logistic,Good,2
hàng bao đẹp nên mua nha cả nhà ,Product,Good,0
sản phẩm đẹp nhân viên tư vấn nhiệt tình ,Product,Good,0
"bộ nồi đẹp, chất lượng tốt mà giá cả phải chăng mọi người nên mua nhé.riêng khoản giao hàng thì max nhanh mà ship thì rất thân thiện nhiệt tình, nói chung là đáng tiền ",Product,Good,0
"đã nhận được hàng, đóng gói cẩn thận, giao hàng nhanh!
hàng đẹp,chắc chắn dày dặn 
",Product,Good,0
ok,Quality,Good,1
"sp đep lam ạ, shop goi hang can than ky luong vo cung lun nha. ",Product,Good,0
mình scan qr code mà ko hiện ra đăng kí bảo hành. mình mong được hỗ trợ chứ mình mua máy chunhs hãng vì muốn đc bảo hành. máy dùng tốt dễ dùng dễ chùi rửa,Quality,Good,1
máy về ko có chạy shop ơi ,Quality,Bad,1
not good,Product,Bad,0
chảo đẹp xài ok nên mua nhé anh em ,Product,Good,0
"giao thiếu sản phẩm, liên hệ thì chờ các bên liên quan giải quyết mà không biết đến khi nào xong, tiền ship cao ngất ngưởng.",Logistic,Bad,2
"hàng chất lượng tốt, giao hàng nhanh, đóng gói cẩn thận, shop phục vụ nhiệt tình……………………..",Quality,Good,1
"shop giao hàng rất nhanh ! sản phẩm đẹp, chắc chắn, dày, shop đống gói cẩn thận , sẻ ủng hộ shop lần sau !",Product,Good,0
"nồi dày dặn nặng tay xài rất thích, nhìn cũng sang.",Product,Good,0
"sản phẩm đẹp, cầm chắc tay, ủi phẳng tốtvải mỏng, 1 túi nước ủi dư 1 bộ quần áo, chất lượng phù hợp với giá tiền",Product,Good,0
shop ơi ấm tặng nắp bị gãy shop đổi hàng được ko. lò thì chưa sử dụng nên ko biết ntn? mình có quay clip nhưng vì có quay mặt mình nên nếu cần thì mình cũng cấp nhưng gửi riêng chứ ko gửi trên này được. shop hỗ trợ giúp mình đổi ấm nha.,Sale,Bad,3
chảo đẹp xài ok nên mua nhé anh em ,Product,Good,0
giá k hợp lý lắm so với chấ lượng sản phẩm,Sale,Bad,3
"hàng đóng gói tốt, ko bị móp hàng bên trong, chưa dùng chưa đánh giá dc",Quality,Good,1
"máy mới mua dề không biết sử dụng nhắn tin cho bên bán  hàng bên bán hình như không nhiệt tình lắm với cách chăm sóc khách hàng hơi buồn xíu nhưng máy xay đậu nành rất ngon, mình rất hài lòng về chất lượng của máy ",Quality,Good,1
chống dính k tốt lắm,Quality,Good,1
sản phẩm dày dặn nấu được mọi loại bếp nồi chất lượng không có gì chê cả rất là ưng lun mà mình còn săn được 1đ nữa không ngờ shop giao 4 bộ nồi lun cảm ơn shop rất nhiều uy tín chất lượng cho shop 100 sao 🥰🥰🥰🥰🥰🥰,Product,Good,0
"giao hàng nhanh, đóng gói cẩn thận. chảo đẹp, đúng sản phẩm cần mua.",Product,Good,0
"sản phẩm ok, thời gian giao hàng nhanh, đóng gói cẩn thận, hi vọng sẽ xài được lâu. được tặng thêm chảo xịn xò.",Quality,Good,1
"giao hang nhanh truoc ca du kien hang shop dong goi can than rat hai long con chat luong chua dung chua danh gia dc ko biet hàng chinh hãng khong nhung nhin có vẻ yen tam la hang chinh hang, ",Logistic,Good,2
"chảo giao đủ số lượng, bọc hàng chưa chuẩn lắm, viền chảo hơi xước tí nhưng thôi ko sao.",Logistic,Good,2
"chao day dep, chua su dung nen chua biet sao",Product,Good,0
"sp xài tốt, rất hài lòng",Quality,Good,1
chảo tốt  đẹp nên mua,Product,Good,0
"chảo rất đẹp , đúng chuẩn hàng gin của tefal . rất hài lòng. ",Product,Good,0
chảo đẹp nhưng bị mốp méo ,Product,Good,0
"hàng chất lượng tốt, giao hàng nhanh, đóng gói cẩn thận, shop phục vụ nhiệt tình……………………..",Quality,Good,1
chảo dẹp  chất lượng cao giá hơi  dắt ,Product,Good,0
"điểm 10 chất lượng nha, hàng dày dặn, mẫu mã đẹp, đóng gói cẩn thận, hip hàng siêu nhanh, hoàn toàn hài lòng.",Product,Good,0
"shop đóng hàng rất kỹ, giao hàng đúng hẹn. 
ưu điểm: bàn ủi dễ lắp ráp (có bảng hướng dẫn), chắc chắn. nước nóng nhanh, hơi nước mạnh, ủi đồ mau thẳng kể cả đồ jean. có 3 chế độ cầu ủi, tiện dụng nhất là mặt nghiêng ủi áo thun và đầm, mặt ngang ủi sơ mi, quần tây, quần jean. 

nhược điểm: cần bàn ủi khá nóng, phải mang găng tay (loại lái xe chống nắng bình thường). giá gác bàn ủi thiết kế kém thông minh, vuông góc với cầu ủi khiến bị mỏi tay mỗi khi cầm lên gác xuống. nên giữ thiết kế như dòng qt1020, mặt bàn song song cầu ủi, tiện dụng hơn.

vẫn chưa có bảng hướng dẫn sử dụng tiếng việt. cái này in nhanh mà, shop nên sớm khắc phục.",Quality,Good,1
"giao hàng siêu nhanh, canh sale được 1 tặng 1 quá rẻ so với chất lượng rất hài lòng👍👍👍👍👍👍",Logistic,Good,2
"giao nhanh, đóng gói chắc chắn, cho 5*",Logistic,Good,2
"nồi tốt ! nấu cơm ngon !đúng hình ảnh mô tả !
cảm ơn shop",Quality,Good,1
"hàng giao nhanh, đóng gói cẩn thận, ko bị trầy xước, cơ bản là giao hàng chất lượng, đã sử dụng chiên rất sướng, đợt mình mua đc giảm giá nên khá hài lòng",Logistic,Good,2
"nồi bị vênh, nắp đậy không khít nhưng vì sự nhiệt tình chăm sóc khách hàng của tefal nên mình đánh giá 5 sao",Service,Good,4
"chảo sâu lòng nên đáy hơi nhỏ. cầm nặng, nhưng cảm giác không được chất lắm, đế từ nấu 2 lần đã ngả vàng.",Product,Bad,0
"tôi rất hài lòng với cách làm việc của cty tefal... mặc dù máy lỗi và tôi rất lúng túng trong vấn đề đổi trả.... và kiện hàng tôi bị vượt qua thời hạn đối mới sp, nhưng sau khi kiểm tra máy...nv kỹ thuật đã xác nhận máy tôi chỉ mới test chưa sử dụng , nên đã vui vẻ đổi sp mới cho tôi, tôi rất hài lòng với cách làm việc và quản lý nhân viên của công ty tefal, đội ngũ nv bảo hành cũng như nv tổng đài là những nv rất chuyên nghiệp. tôi thật sự rất vui khi được giải quyết thỏa đáng...",Service,Good,4
mua lần hai của shop sản phẩm rất là tuyệt vời...chỉ hơi thắc mắc về đơn hàng lúc giao nhận thì rất nhanh chóng nhưng  hơi lằng ngoằng giữa bên bán và bên giao làm cho mình một phen mất thời gian...,Quality,Good,1
"chảo xịn nhưng mà nặng ghia, đóng gói chắc chắn",Product,Good,0
chảo dày đẹp xài ok nấu đc bếp từ ,Product,Good,0
"shop giao hàng nhanh, đóng gói kĩ, chảo rất đẹp, hài lòng.mình mới vừa mua xong lúc tối thì sáng mai shop có chương trình tặng thêm cái chảo,hơi buồn vì ko được tặng quà. ",Product,Good,0
"hậu mãi, dịch vụ chăm sóc kh khá tốt",Quality,Good,1
"hàng tốt, giao hàng cẩn thận. lần sau sẽ tiếp tục ủng hộ shop. ",Quality,Good,1
"chảo sâu dày dặn đỡ lo
bắn ",Product,Good,0
"hàng đẹp, đóng gói cẩn thận. chất lượng chống dính chờ thời gian sử dụng rồi nhận xét nhé.",Product,Good,0
"máy ép rất tốt, chạy êm, giao hàng nhanh, đóng gói khỏi phải bàn, cám ơn mấy bạn packing nhaaaa",Quality,Good,1
chảo tốt và dày dặn lắm,Quality,Good,1
"chảo tốt, không méo, chờ thêm thời gian xem có bị bong tróc lớp chống dính ko",Quality,Good,1
"nhận hàng lâu nhưng hôm nay mới sử dụng. trách mình kiểm tra hàng không cẩn thận, chảo sâu lòng bị móp méo hẳn 1 bên",Logistic,Bad,2
why it is not working for induction cooker?,Product,Bad,0
ok. đang dùng thấy ổn,Quality,Good,1
"sản phẩm hoàn thiết khá đẹp , giao diện tiếng việt dễ sử dụng phù hợp cho mọi người, nấu cơm nhanh chín, ngon",Product,Good,0
ok,Quality,Good,1
"chao dep nang tay thich qua, nhan vien giao hàng lại vui tinh quá thân thiẹn cho shipper 5 sao",Product,Good,0
